N,K,sigma,accept_rate,threshold,mean_quality_accepted,mean_quality_rejected,posterior_contrast,mutual_information_bits,tail_capture_top1pct,precision_top1pct,quality_dist,policy
200,199,0.7,0.995,-3.1442002825868487,0.011905406089112358,-2.3691758117333506,2.3810812178224627,0.022331957813283072,0.9999999999999994,0.010086458044253354,gaussian,constant_K
400,200,0.7,0.5000000000000001,-3.469447076030706e-17,0.6536524902367444,-0.6536524902367447,1.307304980473489,0.41111252253144603,0.9998471241227458,0.020068982975581594,gaussian,constant_K
800,200,0.7,0.25000000000000006,0.8233196629061688,1.041330826584788,-0.3471102755282627,1.3884411021130507,0.33952146686205553,0.9932740584644119,0.03987409612624326,gaussian,constant_K
1600,200,0.7,0.12500000000000003,1.4041803645206854,1.3491342225776652,-0.19273346036823788,1.541867682945903,0.23466609149249051,0.9530830173866089,0.07652132566578097,gaussian,constant_K
3200,200,0.7,0.06250000000000001,1.8726327660194872,1.6120379067950086,-0.10746919378633392,1.7195071005813425,0.15042249780762285,0.8507578377667013,0.13661164112434032,gaussian,constant_K
6400,200,0.7,0.03125000000000001,2.2737539976463914,1.845082931373567,-0.05951880423785698,1.904601735611424,0.09225335777566142,0.6918253234159185,0.22218165641899962,gaussian,constant_K
12800,200,0.7,0.015625000000000003,2.6291390944923902,2.0564233926700166,-0.03264164115349232,2.089065033823509,0.05489763378048995,0.5117464747774281,0.3286976512256897,gaussian,constant_K
25600,200,0.7,0.007812500000000009,2.951006803377063,2.2510744556938356,-0.017724995714124718,2.2687994514079604,0.031946258380170775,0.34753471349546955,0.4464470188877687,gaussian,constant_K
51200,200,0.7,0.003906250000000003,3.247026046703885,2.432381867133273,-0.009538752420130484,2.441920619553404,0.0182697663288498,0.21951618007206652,0.5639859293772812,gaussian,constant_K
102400,200,0.7,0.0019531249999999987,3.5223661112178624,2.6027091199245125,-0.005093364226858172,2.6078024841513705,0.010303304074302076,0.13068168131976357,0.6715006562843457,gaussian,constant_K
200,199,1.5,0.9950000000000001,-4.6436422129967525,0.008061123981426041,-1.6041636723038073,1.6122247962852334,0.009585743216685663,0.9999992208188568,0.010086450185075448,gaussian,constant_K
400,200,1.5,0.5,-1.3183898376064703e-16,0.442586711164195,-0.4425867111641951,0.8851734223283901,0.15758365819193487,0.9593645334044856,0.019256414329504798,gaussian,constant_K
800,200,1.5,0.25,1.215953686757755,0.7050828867317623,-0.2350276289105874,0.9401105156423497,0.13189380029095787,0.8277710235848584,0.03323012524455658,gaussian,constant_K
1600,200,1.5,0.12500000000000006,2.0738218313707195,0.9134959057558011,-0.13049941510797167,1.0439953208637727,0.09322142740014755,0.649372124875048,0.05213692295357219,gaussian,constant_K
