venue,year,n_total,n_accept,n_reject,accept_rate,n_with_rating,mean_rating,mean_rating_std,mean_rating_range,delta_accept_reject,n_accepted_with_rating,n_rejected_with_rating
cvpr,2013,471,471,0,1.0,0,,,,,0,0
cvpr,2014,540,540,0,1.0,0,,,,,0,0
cvpr,2015,602,602,0,1.0,0,,,,,0,0
cvpr,2016,643,633,0,0.9844479004665629,0,,,,,0,0
cvpr,2017,783,783,0,1.0,0,,,,,0,0
cvpr,2018,979,979,0,1.0,0,,,,,0,0
cvpr,2019,1294,1294,0,1.0,0,,,,,0,0
cvpr,2020,1467,1467,0,1.0,0,,,,,0,0
cvpr,2021,1661,1661,0,1.0,0,,,,,0,0
cvpr,2022,2077,2062,0,0.9927780452575831,0,,,,,0,0
cvpr,2023,2359,2359,0,1.0,0,,,,,0,0
cvpr,2024,2716,2716,0,1.0,0,,,,,0,0
cvpr,2025,2872,2856,0,0.9944289693593314,0,,,,,0,0
