venue,year,n_total,n_accept,n_reject,accept_rate,n_with_rating,mean_rating,mean_rating_std,mean_rating_range,delta_accept_reject,n_accepted_with_rating,n_rejected_with_rating
iclr,2013,67,23,12,0.34328358208955223,0,,,,,0,0
iclr,2014,69,69,0,1.0,0,,,,,0,0
iclr,2017,490,198,245,0.40408163265306124,490,5.683061224489795,0.85655433583068,1.589795918367347,2.1856837078265654,198,245
iclr,2018,995,337,565,0.33869346733668343,970,5.353780068728522,0.9979195930620445,1.8649484536082475,1.979425673029457,337,543
iclr,2019,1579,502,1077,0.31792273590880304,1564,5.321440750213129,0.9350324789813,1.7487212276214834,1.9017984558939371,502,1062
iclr,2020,2594,687,1907,0.2648419429452583,2561,4.180717167773006,1.397289841273478,2.5306520890277238,2.818490146062697,687,1874
iclr,2021,3014,860,2154,0.285335102853351,2979,5.364126664428779,1.0076315110358622,2.130245048674052,1.630462912153238,860,2119
iclr,2022,3422,1095,2327,0.3199883109292811,0,,,,,0,0
iclr,2023,4955,1204,3380,0.24298688193743692,0,,,,,0,0
iclr,2024,7407,2260,5147,0.30511678142297827,7261,5.1405127524084975,1.2085030437568258,2.4671532846715327,1.9199780753920868,2260,5001
iclr,2025,11677,3704,7973,0.3172047614969598,11521,5.149465262192022,1.1862450339642254,2.469577293637705,1.926832632606847,3704,7817
iclr,2026,19814,5343,14456,0.2696578177046533,19474,4.202665947759406,1.525523855704825,3.1643216596487624,1.650116312322552,5343,14116
