venue,year,n_total,n_accept,n_reject,accept_rate,n_with_rating,mean_rating,mean_rating_std,mean_rating_range,delta_accept_reject,n_accepted_with_rating,n_rejected_with_rating
icml,2013,283,283,0,1.0,0,,,,,0,0
icml,2014,310,310,0,1.0,0,,,,,0,0
icml,2015,270,270,0,1.0,0,,,,,0,0
icml,2016,322,322,0,1.0,0,,,,,0,0
icml,2017,435,434,0,0.9977011494252873,0,,,,,0,0
icml,2018,623,621,0,0.9967897271268058,0,,,,,0,0
icml,2019,774,773,0,0.9987080103359173,0,,,,,0,0
icml,2020,1087,1084,0,0.9972401103955841,0,,,,,0,0
icml,2021,1184,1183,0,0.9991554054054054,0,,,,,0,0
icml,2022,1233,1233,0,1.0,0,,,,,0,0
icml,2023,1865,1865,0,1.0,0,,,,,0,0
icml,2024,2610,2610,0,1.0,0,,,,,0,0
icml,2025,3527,3342,185,0.94754749078537,96,3.252256944444444,0.7857972193859206,1.65625,1.071222950168751,73,23
