venue,year,n_total,n_accept,n_reject,accept_rate,n_with_rating,mean_rating,mean_rating_std,mean_rating_range,delta_accept_reject,n_accepted_with_rating,n_rejected_with_rating
nips,1987,90,90,0,1.0,0,,,,,0,0
nips,1988,94,94,0,1.0,0,,,,,0,0
nips,1989,101,101,0,1.0,0,,,,,0,0
nips,1990,143,143,0,1.0,0,,,,,0,0
nips,1991,144,144,0,1.0,0,,,,,0,0
nips,1992,127,127,0,1.0,0,,,,,0,0
nips,1993,158,158,0,1.0,0,,,,,0,0
nips,1994,140,140,0,1.0,0,,,,,0,0
nips,1995,152,152,0,1.0,0,,,,,0,0
nips,1996,152,152,0,1.0,0,,,,,0,0
nips,1997,150,150,0,1.0,0,,,,,0,0
nips,1998,151,151,0,1.0,0,,,,,0,0
nips,1999,150,150,0,1.0,0,,,,,0,0
nips,2000,152,152,0,1.0,0,,,,,0,0
nips,2001,197,197,0,1.0,0,,,,,0,0
nips,2002,207,207,0,1.0,0,,,,,0,0
nips,2003,198,198,0,1.0,0,,,,,0,0
nips,2004,207,207,0,1.0,0,,,,,0,0
nips,2005,207,207,0,1.0,0,,,,,0,0
nips,2006,204,204,0,1.0,0,,,,,0,0
nips,2007,217,217,0,1.0,0,,,,,0,0
nips,2008,250,250,0,1.0,0,,,,,0,0
nips,2009,262,262,0,1.0,0,,,,,0,0
nips,2010,292,292,0,1.0,0,,,,,0,0
nips,2011,306,306,0,1.0,0,,,,,0,0
nips,2012,370,370,0,1.0,0,,,,,0,0
nips,2013,361,360,0,0.997229916897507,0,,,,,0,0
nips,2014,411,411,0,1.0,0,,,,,0,0
nips,2015,403,403,0,1.0,0,,,,,0,0
nips,2016,570,568,0,0.9964912280701754,0,,,,,0,0
nips,2017,691,691,0,1.0,0,,,,,0,0
nips,2018,1009,1009,0,1.0,0,,,,,0,0
nips,2019,1429,1427,0,0.9986004198740378,0,,,,,0,0
nips,2020,1901,1899,0,0.9989479221462388,0,,,,,0,0
nips,2021,2708,2508,200,0.9261447562776958,2708,6.404839276921995,0.8528239220444339,1.7747415066469718,1.2535901496164659,2508,200
nips,2022,3054,0,153,0.0,2987,6.0321739442345415,1.0247777230766553,2.126883160361567,,0,153
nips,2023,3777,3584,192,0.9489012443738417,3733,5.967107713698927,1.029660734776487,2.307795338869542,1.0466974374495557,3540,192
nips,2024,4830,4518,268,0.9354037267080745,4761,5.953704203798721,1.0351278899249008,2.1875656374711197,0.8891118475221118,4493,268
nips,2025,6212,5812,400,0.9356084996780425,6212,4.35691403734707,0.6129973055347598,1.2509658725048294,0.37479783207157613,5812,400
